sex,first_name,count,sex_name
1,Анастасия,20,Женский
1,Мария,19,Женский
1,Елена,18,Женский
1,Юлия,18,Женский
1,Ирина,17,Женский
1,Ольга,16,Женский
1,Екатерина,16,Женский
1,Анна,13,Женский
1,Наталья,12,Женский
1,Татьяна,12,Женский
1,Виктория,11,Женский
1,Дарья,11,Женский
1,Марина,9,Женский
1,Валерия,8,Женский
1,Кристина,8,Женский
1,Светлана,8,Женский
1,Евгения,7,Женский
1,Людмила,6,Женский
1,Оксана,6,Женский
1,Катерина,6,Женский
1,Олеся,5,Женский
1,Маргарита,5,Женский
1,Александра,4,Женский
1,Диана,4,Женский
1,Алёна,3,Женский
1,Галина,3,Женский
1,Алина,3,Женский
1,Инна,3,Женский
1,Любовь,3,Женский
1,Надежда,3,Женский
1,Ооо,3,Женский
1,Ксения,3,Женский
1,Наталия,3,Женский
1,Яна,3,Женский
1,Лилия,2,Женский
1,Ника,2,Женский
1,Настенька,2,Женский
1,Майя,2,Женский
1,Виолетта,2,Женский
1,Аленка,2,Женский
1,Оля,2,Женский
1,Дария,2,Женский
1,Саша,2,Женский
1,Вика,2,Женский
1,Натали,2,Женский
1,Юленька,2,Женский
1,Юлечка,2,Женский
1,Юлианна,2,Женский
1,Алёночка,2,Женский
1,Юлька,2,Женский
1,Юля,2,Женский
1,Вера,2,Женский
1,Julia,2,Женский
1,Katerina,2,Женский
1,Полина,1,Женский
1,Работа-В-Подольске,1,Женский
1,Регина,1,Женский
1,Ресницы-Подольск,1,Женский
1,Рита,1,Женский
1,Ррр,1,Женский
1,Самовар-И,1,Женский
1,Mrs,1,Женский
1,N,1,Женский
1,N@stюsh@,1,Женский
1,Nadin,1,Женский
1,Nataliya,1,Женский
1,Ninulka,1,Женский
1,No,1,Женский
1,Oles,1,Женский
1,Olga,1,Женский
1,Ptg,1,Женский
1,Railya,1,Женский
1,Rita,1,Женский
1,Safina,1,Женский
1,Serpentine,1,Женский
1,Skin,1,Женский
1,Sweet,1,Женский
1,Tatka,1,Женский
1,Tina,1,Женский
1,Vera,1,Женский
1,Vi,1,Женский
1,Viorika,1,Женский
1,Vitalina,1,Женский
1,Wifey,1,Женский
1,Www,1,Женский
1,Zzzz,1,Женский
1,А-А,1,Женский
1,А-И-А,1,Женский
1,А-Утром---К-Восходу,1,Женский
1,А-Я,1,Женский
1,Ааа,1,Женский
1,Агния,1,Женский
1,Аделаида,1,Женский
1,Азимут,1,Женский
1,Айдан,1,Женский
1,Айжамал,1,Женский
1,Академия-Искусств,1,Женский
1,Александр-И-Евгения,1,Женский
1,Алена,1,Женский
